RESOLUCIÓN Y FECHA,ENTIDAD,INCUMPLIMIENTO,TIPO DE SANCIÓN
"R-SIV-2013-79-BP-R 
19/08/2013","BOLSA 
AGROEMPRESARIAL DE LA 
REPÚBLICA DOMINICANA, 
S.A.","▪  No  Remisión  del  Programa  Anual  de  Capacitación 
correspondiente al año 2013.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2016-56-BP-S 
10/08/2016","BOLSA 
AGROEMPRESARIAL DE LA 
REPÚBLICA DOMINICANA, 
S.A.","▪  No  Remisión  del  Informe  Anual  de  Auditoria  Externa 
correspondiente al año 2014, el cual debió ser remitido en 
fecha quince (15) de mayo del dos mil quince (2015).","Sanción Cualitativa 
Amonestación Escrita"
"R-CNV-2013-14-BV      
23/05/2013","BOLSA DE VALORES DE LA 
REPÚBLICA DOMINICANA, 
S.A.","▪  No remisión del Acta de Asamblea Anual de Accionistas 
certificada por el Registro Mercantil del 26 de abril de 2012.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2013-114-AE-S       
30/10/2013","C. M. NÚÑEZ LLANO & 
ASOCIADOS, S.R.L.","▪  No remisión de los siguientes documentos: 1. Lista de socios 
con sus respectivas participaciones en montos, porcentajes y 
votos,  certificada,  sellada  y  registrada  en  el  Registro 
Mercantil  a  cargo  de  la  Cámara  de  Comercio 
correspondiente; 2. Acta de Asamblea de socios del año 
2013, que conoce los estados financieros auditados 2012, 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  correspondiente;  3. 
Constancia de la Dirección General de Impuestos Internos 
certificando el pago de la liquidación de impuestos sobre la 
renta del último período fiscal.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-16-AE-S 
06/05/2014","CAMPUSANO & 
ASOCIADOS, S.R.L.","▪  No  remisión  de  los  Estados  Financieros  semestrales 
correspondientes al período julio-diciembre de dos mil trece 
(2013) comparados con el semestre anterior correspondiente 
al periodo enero-junio dos mil trece (2013).","Sanción Cualitativa 
Amonestación Escrita"
"R-CNV-2014-20-AE 
14/10/2014","CAMPUSANO & 
ASOCIADOS, S.R.L.","▪  No  remisión  de  los  siguientes  documentos:  1) 
Documentación  que  sustenta  la  transformación  de  la 
compañía en una sociedad de responsabilidad limitada, 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  y  Producción 
correspondiente; 2) Acta de Asamblea General Ordinaria 
Anual correspondiente a los períodos 2011, 2012 y 2013, 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  y  Producción 
correspondiente; 3) Lista de Accionistas, socios o partícipes 
con sus respectivas participaciones en montos, porcentajes 
y votos, certificada, sellada y registrada en el Registro 
Mercantil a cargo de la Cámara de Comercio y Producción 
correspondiente; 4) Estados Financieros auditados por el 
período 2009-2010, 2010-2011 y 2011-2012. Dicho informe 
en papel timbrado, RNC y sello de la compañía auditora; 5) 
Constancia de la Dirección General de Impuestos Internos 
certificando el pago de la liquidación de impuestos sobre la 
renta del último período fiscal; 6) Nómina actualizada del 
personal  técnico  que  realiza  los  trabajos  de  auditoría,","Sanción Cualitativa y 
Cuantitativa 
Amonestación Escrita 
RD$100,000.00"
"R-SIV-2014-32-AE-S 
25/07/2014","CM NUÑEZ LLANOS & 
ASOCIADOS, S.R.L.","▪  No remisión a la Superintendencia de Valores, dentro de los 
noventa (90) días hábiles posteriores a la fecha de cierre del 
ejercicio  anual (venciendo  el  plazo  para  la  remisión  el 
catorce 14 del mes de mayo del año dos mil catorce 2014), 
de las informaciones requeridas por el artículo 38 de la 
Norma  que  establece  Disposiciones  Generales  sobre  la 
Información que deben Remitir Periódicamente los Emisores 
y Participantes del Mercado de Valores”, emitida por el 
Consejo  Nacional  de  Valores  mediante  la  Tercera 
Resolución (R-CNV-2013-03-MV), de fecha veinticinco (25) 
del  mes  de  enero  del  año  dos  mil  trece  (2013).  Esos 
documentos son los siguientes: a. Lista de socios actualizada 
con sus respectivas participaciones en montos, porcentajes y 
votos,  certificada,  sellada  y  registrada  en  el  Registro 
Mercantil  a  cargo  de  la  Cámara  de  Comercio 
correspondiente. b. Acta de Asamblea General Ordinaria de 
socios  del  año  dos  mil  catorce  (2014),  que  conoce  los 
Estados Financieros auditados del año dos mil trece (2013), 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  correspondiente.  c. 
Constancia de la Dirección General de Impuestos Internos 
(DGII) certificando el pago de la liquidación de impuestos 
sobre la renta del último período fiscal. d. Nómina del 
personal  técnico  que  realiza  los  trabajos  de  auditoría, 
incluyendo los currículum vitae y copias de las cédulas de 
identidad. e. Certificación del presidente y secretario de la 
sociedad, donde conste una relación de las sociedades o","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-52-EV-S 
09/05/2013","CAP CANA, S.A.","▪  No remisión a la SIV y no publicación en la página Web del 
emisor  del  hecho  relevante  sobre  la  suspensión  de  los 
valores. 
▪  No remisión de un informe actualizado sobre el proceso de 
negociación de los bonos internacionales, donde se pueda 
evidenciar los avances de manera detallada y el tiempo 
estimado en que cerrarán dichas negociaciones. 
▪  No  remisión  del  estatus  de  la  auditoría  de  los  estados 
financieros  individuales  y  consolidados  del  año  2011, 
indicando el tiempo que serán remitidos para subsanar el 
incumplimiento ante esta Superintendencia de Valores. 
▪  No remisión del plan de acción donde se explique de manera 
detallada las medidas contempladas por la entidad respecto 
a la calificación de riesgo, y la no remisión de la información 
anual correspondiente al año 2011 requerida a los emisores 
de valores y el cumplimiento de sus obligaciones de pago, de","Sanción Cuantitativa 
RD$500,000.00"
"R-SIV-2013-126-EV-R      
20/11/2013","CAP CANA, S.A.","▪  No  remisión  de  los  siguientes  documentos:  1.  Estados 
Financieros Auditados 2012; 2. Carta de Gerencia de los 
Auditores  Independiente;  3.  Declaración  jurada, 
estableciendo la veracidad, exactitud y razonabilidad de las 
informaciones financieras al 2012; 4. Listado de Accionistas 
con  sus  respectivas  firmas;  5.  Acta  de  Asamblea  de 
Accionistas certificada por el Registro Mercantil a cargo de 
la Cámara de Comercio y Producción correspondiente, en la 
cual se contemple la aprobación de los estados financieros 
auditados; 6. Certificación de la DGII donde establece el 
pago de la liquidación de impuesto sobre la renta del período 
fiscal 2012; 7. Informe de Buen Gobierno Corporativo.","Sanción Cuantitativa 
RD$1,000,000.00"
"R-SIV-2013-127-EV-S       
20/11/2013","CAP CANA, S.A.","▪  No remisión de la tasación actualizada de los inmuebles 
dados en garantía como lo establece el Punto 2.1.2.9 del 
Prospecto de Colocación que establece que el emisor se 
compromete  a  realizar  anualmente  una  tasación  del 
inmueble otorgado en garantía por tercero autorizado por 
las leyes vigentes.","Sanción Cuantitativa 
RD$200,000.00"
"R-SIV-2013-136-EV-S       
13/12/2013","CAP CANA, S.A.","▪  No remisión del informe sobre la situación actual de las 
Notas 2016 correspondiente al 3er. trimestre (al 30 de junio 
2013) de acuerdo a lo estipulado en el Punto 2.1.9.1 del 
Prospecto de Colocación.","Sanción Cuantitativa 
RD$100,000.00"
"R-SIV-2013-84-IV-S 
11/09/2013","CCI PUESTO DE BOLSA, S.A.","▪  Remisión  inexacta  del  Estado  de  Cartera  de  Custodia, 
respecto a la disposición para formato establecida en la 
Subsección 4.5.10 forma j) del Capítulo IV del Manual de 
Contabilidad y Plan de Cuentas.","Sanción Cualitativa 
Amonestación Escrita"
"R-CNV-2014-36-RA 
09/12/2014","CCI PUESTO DE BOLSA, S.A.","▪  No  realización  del  Informe  de  Perfil  del  Inversionista 
conforme  estipula  el  Artículo  9  de  la  Norma  para  los 
Intermediarios de Valores que establece disposiciones para 
su funcionamiento  CNV-2005-10-IV, aprobada en fecha 
veintidós (22) de noviembre del año dos mil cinco (2005); 
▪  No elaboración de las Confirmaciones de Transacciones en 
operaciones correspondientes al año dos mil doce (2012) y","Sanción Cuantitativa 
RD$100,000.00"
"R-SIV-2015-10-IV 
31/03/2015","CCI PUESTO DE BOLSA, S.A.","▪  Diferencia detectada dentro del Portafolio de Acciones del 
Puesto de Bolsa, ocasionada por una valoración errónea de 
las  acciones, por utilizar los  precios de  cierre del día 
Veintinueve (29) del mes de junio de dos mil catorce (2014), 
debiendo  haber  tomado  los  precios  del  cierre 
correspondientes al día treinta (30) del mes de junio del dos 
mil catorce (2014);","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-26-IV-R 
29/03/2016","CCI PUESTO DE BOLSA, S.A.","▪  Remisión Inexacta del Estado de Cartera de Inversiones, 
correspondiente a la Información Financiera del mes de 
mayo del año 2015, por diferencia detectada en la sección 
del Total del Valor Nominal remitido por CCI y el Total del 
Balance Disponible del Estado de Cuentas de Valores y 
Operaciones generados a través del Sistema Central de 
Valores (CEVALDOM), ascendente  a la suma de DOP 
8,900,000.00; 
▪  Remisión  Inexacta  del  Estado  de  Cartera  de  Custodia, 
correspondiente a la Información Financiera del mes de 
mayo del año 2015, por diferencia detectada en la sección 
del Total de la Cantidad de Valor Nominal del Estado y el 
Balance de la cuenta 7.1.1.00.00.00.00.00.0 Encargos de 
Confianza  por  Contratos  de  Mandato  para  Apertura  y 
Manejo  de  Servicio  de  Custodia  de  Valores  ante 
Depositarios Autorizados del Balance de Comprobación, 
ascendente a la suma de DOP 9, 371,163.55","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2017-43-IV-R 
13/10/17","CCI PUESTO DE BOLSA, S.A.","▪  Incumplimiento por no mantener, dentro de la muestra de 
105  expedientes  de  clientes  revisados,  detallados  en  el 
numeral  3  de  la  presente  resolución,  la  siguiente 
información: Ciento Cinco (105) expedientes de clientes sin 
documentos que avalen el origen de fondos. 
▪  Incumplimiento  por  no  contener  en  los  setenta  (70) 
expedientes de los clientes detallados en el numeral 3 de la 
presente resolución, evidencia de su actualización y de la 
Debida Diligencia Continua realizada durante la vigencia de 
la relación comercial.  
▪  Incumplimiento  por  no  contar  con  un  programa  de 
supervisión que permita el seguimiento y monitoreo continuo 
de  los  expedientes  de  clientes  y  la actualización de  los 
mismos.","Sanciones Cuantitativas 
RD$200,000.00"
"R-SIV-2013-57-DCV-S 
06/06/2013","CEVALDOM DEPÓSITO 
CENTRALIZADO DE 
VALORES, S.A.","▪  Remisión  Tardía  del  Informe  de  Capacitación  Anual 
correspondiente al año 2013, debiendo ser remitido a más 
tardar el 15 de enero de 2013.","Sanción Cualitativa 
Amonestación Verbal"
"R-SIV-2013-73-IV-S 
24/07/2013","CITINVERSIONES DE 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión  inexacta  del  Balance  General  Resumido, 
presentando una diferencia de DOP792,240.71, ya que el 
Puesto en la sección de patrimonio no esta incluyendo el 
resultado neto del periodo actual que se refleja en el Estado 
de Resultado. 
▪  Remisión  errónea  de  los  siguientes  reportes  que  no  se 
encuentran  en  los  formato  establecidos  por  la  SIV:  (i) 
Balance General Resumido: en la sección de patrimonio, el","Sanción Cuantitativa 
RD$200,000.00"
"R-SIV-2013-141-IV-R       
30/12/2013","CITINVERSIONES DE 
  
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Diferencia en la Balanza de Comprobación y el Balance 
General  remitido  respecto  a  la  cuenta 
3.4.1.00.00.00.00.00.0.00 Reserva Legal Ley Mercado de 
Valores, donde el puesto incluye en esta partida, reservas 
distintas a las exigidas de acuerdo a lo establecido en el 
Manual de Contabilidad y plan de cuentas.  2. Remisión 
inexacta del Estado de Resultado-Otros Ingresos Operativos 
de abril 2013, donde se registran partidas de períodos que 
no  corresponden  (ingresos  segundo  trimestre  2012).  3. 
Diferencia  entre  el  monto  de  la  cuenta 
1.0.0.00.00.00.00.00.0 Activos y el monto Total de Activos 
presentado. 4. No remisión de las siguientes Notas: o 4.4.5 
Composición de las partidas de los estados financieros. 
o 4.4.3  Cambios  en  las  políticas  y  prácticas  contables. 
o 4.4.4 Activos sujetos a restricciones o 4.4.9 Bienes de uso 
o 4.4.14  Plan  de  beneficios  basados  en  acciones.  5. 
Remisión inexacta de los reportes del Estado de la Cartera 
de Inversiones al 31 de diciembre de 2012 y 2011.","Sanción Cualitativa 
Amonestación Verbal 
Amonestación Escrita"
"R-SIV-2015-14-IV-R        
07/05/2015","CITINVERSIONES DE 
 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión inexacta del Estado de Cambio de Patrimonio 
correspondientes al semestre enero – junio del año 2014, 
por no estar conforme al formato estipulado dentro del 
Capítulo IV, Sección 4.3 del Manual de Contabilidad y Plan 
de Cuentas","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-12-IV-S 
10/02/2016","CITINVERSIONES DE 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión inexacta mediante comunicaciones 41067 y 41089 
de  fechas  29  y  30  de  julio  de  2015,  de  los  Estados 
Financieros correspondientes al 1er semestre de 2015, por 
diferencia ascendente a RD$1,000,000.00 en la nota 4.4.6","Sanción Cualitativa y 
Cuantitativa 
Amonestación Escrita 
RD$50,000.00"
"R-SIV-2016-14-IV-S 
10/02/2016","CITINVERSIONES DE 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión  Inexacta  de  los  Estados  Financieros 
correspondientes al segundo (2do) semestre del año dos mil 
catorce  (2014),  por  diferencia  detectada  dentro  de  los 
balances al 31 de diciembre del año 2013 comparados con 
los balances auditados de ese mismo periodo. 
▪  Remisión  Inexacta  de  los  Estados  Financieros 
correspondientes al segundo (2do) semestre del año dos mil 
catorce (2014), por diferencia detectada dentro de la cuenta 
2.0.0.00.00.00.00.00.0.00 PASIVO del Balance General al 
31 de diciembre del año 2013 comparado con el Total 
Pasivo.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-57-IV-S 
10/08/2016","CITINVERSIONES DE 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión tardía a la Superintendencia vía SERI del reporte 
de las transacciones diarias Nos.164257, 164258 y 164259, 
pactadas por el puesto de bolsa en fecha veintiuno (21) de","Sanción Cualitativa 
Amonestación Escrita"
"R-SIMV-2019-32-IV-S 
10/9/2019","CITINVERSIONES DE 
TÍTULOS Y VALORES, S.A. 
(PUESTO DE BOLSA)","▪  Remisión inexacta de la balanza de comprobación diaria 
comparada con la balanza de comprobación mensual.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2017-23-EV-R    
07/08/2017",CONSORCIO REMIX,"▪  Incumplimiento de la normativa del Mercado de Valores 
toda vez que la entidad no remitió a la Superintendencia de 
Valores el afiche publicitario difundido en el periódico de 
circulación nacional “Diario Libre” en fecha veintiséis (26) 
de abril de dos mil dieciséis (2016), vinculado al programa 
de Emisiones de Bonos Corporativos inscrito en el Registro 
del Mercado de Valores y Productos bajo el No. SIVEM-
097, y por no incluir en la publicidad:  
o La disponibilidad del Prospecto de Emisión y que se 
mantendrá para consulta al menos en el domicilio 
social del emisor y sus sucursales, en las oficinas de 
los  agentes  de  colocación  contratados,  la 
Superintendencia de Valores y en cualquier otro lugar 
que determine el emisor. 
o La leyenda referente a que “la inscripción del valor en 
el Registro del Mercado de Valores y Productos y la 
autorización para realizar la oferta pública por parte 
de la Superintendencia, no implica certificación sobre 
la calidad de los valores y la solvencia del emisor”.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2014-44-AE-R 
03/09/2014","DELOITTE RD, S.R.L.","▪  Remisión  tardía  de  los  estados  financieros  semestrales 
correspondientes al período julio-diciembre del año dos mil 
trece  (2013)  comparados  con  el  semestre  anterior 
correspondiente al período enero-junio de dos mil trece 
(2013), por haber sido remitidos con posterioridad a los 
veintiún (21) días hábiles luego del cierre del semestre, es 
decir, después del día tres (03) del mes de febrero del año 
dos mil catorce (2014);  tal como lo requiere la Norma que 
establece Disposiciones Generales sobre la Información que 
deben Remitir Periódicamente los Emisores y Participantes","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-45-AE-R 
03/09/2014","DELOITTE RD, S.R.L.","▪  No remisión a la Superintendencia de Valores, dentro de los 
noventa (90) días hábiles posteriores a la fecha de cierre del 
ejercicio anual (venciendo el plazo para la remisión el 
catorce (14) del mes de mayo del año dos mil catorce 2014), 
de las informaciones requeridas por el artículo 38 de la 
Norma  que  establece  Disposiciones  Generales  sobre  la 
Información  que  deben  Remitir  Periódicamente  los 
Emisores y Participantes del Mercado de Valores”, emitida 
por el Consejo Nacional de Valores mediante la Tercera 
Resolución (R-CNV-2013-03-MV), de fecha veinticinco (25) 
del  mes  de  enero  del  año  dos  mil  trece  (2013).  Esos 
documentos  son  los  siguientes:  a)  Lista  de  socios 
actualizada con sus respectivas participaciones en montos, 
porcentajes y votos, certificada, sellada y registrada en el 
Registro Mercantil a cargo de la Cámara de Comercio 
correspondiente; b) Acta de Asamblea General Ordinaria de 
socios  del  año  dos  mil  catorce  (2014),  que  conoce  los 
Estados Financieros auditados del año dos mil trece (2013), 
certificada, sellada y registrada en el Registro Mercantil a 
cargo de la Cámara de Comercio correspondiente; y c) 
Constancia de la Dirección General de Impuestos Internos 
(DGII) certificando el pago de la liquidación de impuestos 
sobre la renta del último período fiscal; y (ii) No remisión a 
la Superintendencia de Valores, dentro de los noventa (90) 
días hábiles posteriores a la fecha de cierre del ejercicio 
anual (venciendo el plazo para la remisión el catorce 14 del 
mes  de  mayo  del  año  dos  mil  catorce  2014),  de  la 
Declaración Jurada del presidente o ejecutivo principal y 
del  ejecutivo  principal  de  finanzas,  en  conjunto  con  la 
información  financiera  periódica,  según  lo  requiere  el 
artículo 212 del Reglamento de Aplicación de la Ley de","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-49-AE-S 
17/10/2014","DELOITTE RD, S.R.L.","▪  Remisión tardía de los Estados Financieros semestrales 
correspondientes al periodo enero-julio de dos mil catorce 
(2014)  comparados  con  el  semestre  anterior 
correspondiente al periodo julio-diciembre de dos mil trece 
(2013).","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-40-EV-S 
20/07/2016","EMPRESA GENERADORA 
DE ELECTRICIDAD HAINA, 
S.A. (EGE HAINA)","▪  Publicación  tardía  en  la  página  web  de  la  Empresa 
Generadora de Electricidad Haina, S.A., del hecho relevante 
sobre  la  ratificación  de  la  calificación  de  riesgo 
correspondiente al cuarto trimestre del año dos mil quince 
(2015), otorgada por Feller Rate en fecha 27 de enero de 
2016 y por Fitch Ratings en fecha 12 de enero de 2016, a la 
empresa como emisor de valores de oferta pública y a sus 
programas de emisiones SIVEM-058, SIVEM-078, SIVEM-
084, SIVEM-094 y SIVEM-095.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-50-EV-S 
10/08/2016","EMPRESA GENERADORA 
DE ELECTRICIDAD HAINA, 
S.A. (EGE HAINA)","▪  Remisión  Tardía  de  los  Estados  Financieros  Interinos 
Trimestrales  correspondientes  al  período  de  octubre-
diciembre  de  dos  mil  quince  (2015),  los  cuales  fueron 
remitidos en fecha once (11) del mes de febrero del año dos 
mil dieciséis (2016), debiendo ser remitidos a más tardar el 
cuatro (04) de febrero de dos mil dieciséis (2016).","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-89-IV-R 
13/09/2013","EXCEL PUESTO DE BOLSA, 
S.A.","▪  Remisión  tardía  del  Programa  Anual  de  Capacitación 
correspondiente al año 2013, el cual fue remitido en fecha 
treinta (30) de enero del 2013, siendo la fecha limite el 
quince (15) de enero del 2013. 
▪  Remisión inexacta del Balance General Resumido en la 
cuenta  1.9.0.00.00.00.00.01.0  MM.C  Otros  Activos, 
presentando una diferencia de DOP 125,785.00, entre el 
Balance General del SERI y el Balance Físico enviado por 
el puesto. 
▪  Remisión inexacta de la Matriz de Patrimonio y Garantías 
de Riesgo e Índices, ya que el Puesto no realizó el cálculo 
correcto de conformidad con el Capítulo V del Manual de 
Contabilidad y Plan de Cuentas.","Sanción Cualitativa y 
Cuantitativa 
Amonestación Verbal 
RD$300,000.00"
"R-SIV-2015-06-IV-S 
13/03/2015","EXCEL PUESTO DE BOLSA, 
S.A.","▪  Remisión  inexacta  de  los  Estados  financieros 
correspondientes  al  semestre  Enero-Junio  de  dos  mil 
catorce (2014) ya que en su nota No. 11, en el renglón de 
Patrimonio, no se incluye el índice de Capital de Riesgo 
(mantenido y requerido) de acuerdo a lo establecido en el 
Manual de Contabilidad y Plan de Cuentas.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-23-IV-S 
23/03/2016","EXCEL PUESTO DE BOLSA, 
S.A.","▪  Remisión  Inexacta  de  los  Estados  Financieros 
correspondientes al mes de Junio 2015, remitidos mediante 
comunicación No. 40740 de fecha catorce (14) de julio del 
2015, en particular la cuenta de Cartera en Custodia, la cual 
no identifica los Clientes Profesionales, a saber: Sociedades 
Administradoras de Fondos de Inversión y Compañías de 
Seguro; 
▪  Remisión  Inexacta  de  los  Estados  Financieros 
correspondientes al mes de Junio 2015, remitidos mediante 
comunicación No. 40740 de fecha catorce (14) de julio del 
2015, en particular la cuenta de Factores de Ponderación 
de  Riesgo,  la  cual  presenta  una  diferencia  de 
RD$4,081,641.67 al ser comparado con el resultado de 
Patrimonio y Garantías de Riesgos e Índices.","Sanción Cualitativa y 
Cuantitativa 
Amonestación Escrita"
"R-SIV-2016-75-IV-R 
04/10/2016","EXCEL PUESTO DE BOLSA, 
S.A.","▪  Remisión  inexacta  de  la  información  financiera 
correspondiente al semestre enero-junio de dos mil quince 
(2015), remitida mediante comunicación No. 40994 de fecha 
veintiocho (28) de julio de dos mil quince (2015), por no 
revelación de los índices de Capital de Riesgo (Mantenido y 
requerido) en la nota 10 de acuerdo a lo establecido en el","Sanción Cualitativa  
RD$100,000.00"
"R-CNV-2013-25-AE-S     
28/08/2013","ERNST & YOUNG, S.R.L.","▪  No  remisión  de:  1.  Acta  de  la  Asamblea  de  Socios 
correspondiente a los periodos 2011 y 2012 certificada, 
sellada (en original) y registrada por el Registro Mercantil 
a  cargo  de  la  Cámara  de  Comercio  y  Producción 
correspondiente. 2. Lista de Accionistas, socios o partícipes 
con su respectiva participación en montos, porcentajes y 
votos,  certificada,  sellada  y  registrada  en  el  Registro 
Mercantil a cargo de la Cámara de Comercio y Producción 
correspondiente. 3. Estados Financieros auditados por el 
período 2010-2011. El informe de los auditores debe constar 
en papel timbrado de la firma de auditores, incluyendo su 
RNC y el sello de la compañía. 4. La constancia de la 
Dirección General de Impuestos Internos que certifica el 
pago de la liquidación de impuestos sobre la renta del último 
período fiscal. 5. Nómina actualizada del personal técnico","Sanción Cualitativa 
Amonestación Verbal"
"R-CNV-2014-51-AE-S     
17/10/2014","ERNST & YOUNG, S.R.L.","▪  Remisión  tardía  de  los  Estados  Financieros  semestrales 
correspondientes al periodo enero-junio de dos mil catorce 
(2014) comparados con el semestre anterior correspondiente 
al periodo julio-diciembre de dos mil trece (2013).","Sanción Cualitativa 
Amonestación Verbal"
"R-SIV-2013-103-AE-S    
02/10/2013","FELIX, SENCIÓN & 
ASOCIADOS, S.A.","▪  No remisión de los siguientes documentos: 1. Lista de socios 
con sus respectivas participaciones en montos, porcentajes y 
votos;  certificada,  sellada  y  registrada  en  el  Registro 
Mercantil a cargo de la Cámara de Comercio y Producción 
correspondiente; 2. Acta de Asamblea de socios del año 
2013, que conoce los estados financieros auditados 2012, 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  y  Producción 
correspondiente; 3. Acta de Asamblea de socios del año 
2013, que conoce los estados financieros auditados 2012, 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  y  Producción 
correspondiente; 4. Estados Financieros Auditados para el 
periodo 2011-2012 y el informe de los auditores; 5. Nombre 
y  dirección  de  las  empresas  a  las  que  está  prestando 
servicios de auditoria externa; 6. Constancia de la Dirección 
General de Impuestos Internos certificando el pago de la 
liquidación de impuestos sobre la renta del último periodo 
fiscal. 7. Declaración Jurada del Presidente o ejecutivo 
principal y del ejecutivo principal de finanzas, estableciendo 
la veracidad de las informaciones.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIMV-2019-20-CR-S 
10/06/2019","FELLER RATE, Sociedad 
Calificadora de Riesgo","▪  Publicación del Informe de Calificación de Riesgo del Banco 
Múltiple BHD León, S.A., de fecha julio de 2018, haciendo 
constar la calificación de Riesgo de los instrumentos de 
inversión de manera errónea.","Sanción Cualitativa  
RD$50,000.00"
"R-SIV-2018-07-SF-S 
6/4/2018","FIDUCIARIA RESERVAS, 
S.A.","▪  Remisión tardía de la Carta de Gerencia emitida por los 
auditores  externos  correspondiente  a  los  Estados","Sanciones Cualitativas 
Amonestaciones Escritas"
"R-SIV-2013-129-AE-S       
20/11/2013","FIR CONSULTING, S.R.L.","▪  No remisión de los Estados Financieros Auditados al 2012 
por una firma de auditoría externa inscrita en el Registro del 
Mercado de Valores.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-31-AE-S        
25/07/2014","FIR CONSULTING, S.R.L.","▪  No remisión a la Superintendencia de Valores, dentro de los 
noventa (90) días hábiles posteriores a la fecha de cierre del 
ejercicio  anual (venciendo  el  plazo  para  la  remisión  el 
catorce 14 del mes de mayo del año dos mil catorce 2014), 
de las informaciones requeridas por el artículo 38 de la 
Norma  que  establece  Disposiciones  Generales  sobre  la 
Información que deben Remitir Periódicamente los Emisores 
y Participantes del Mercado de Valores”, emitida por el 
Consejo  Nacional  de  Valores  mediante  la  Tercera 
Resolución (R-CNV-2013-03-MV), de fecha veinticinco (25) 
del  mes  de  enero  del  año  dos  mil  trece  (2013).  Esos 
documentos son los siguientes:  a. Lista de socios actualizada 
con sus respectivas participaciones en montos, porcentajes y 
votos,  certificada,  sellada  y  registrada  en  el  Registro 
Mercantil  a  cargo  de  la  Cámara  de  Comercio 
correspondiente. b. Acta de Asamblea General Ordinaria de 
socios  del  año  dos  mil  catorce  (2014),  que  conoce  los 
Estados Financieros auditados del año dos mil trece (2013), 
certificada, sellada y registrada en el Registro Mercantil a 
cargo  de  la  Cámara  de  Comercio  correspondiente.  c. 
Constancia de la Dirección General de Impuestos Internos","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-54-AE-S        
17/11/2014","FIR CONSULTING, S.R.L.","▪  Remisión tardía de los Estados Financieros semestrales 
correspondientes al período enero-junio de dos mil catorce 
(2014) comparados con el semestre anterior julio-diciembre 
dos  mil  trece  (2013),  por  no  haber  remitido  dichas 
informaciones en el plazo de veintiún (21) días hábiles 
posteriores al cierre del semestre, según lo establece el 
artículo 39 de la Resolución (R-CNV-2013-03-MV), dictada","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-43-CR-S 
17/04/2013","FITCH REPÚBLICA 
DOMINICANA, S.R.L.","▪  No  remisión  de  los  Estados  Financieros  intermedios  en 
forma comparativa con el semestre anterior correspondiente 
al período diciembre 2012- junio 2012.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-120-CR-R      
06/11/2013","FITCH REPÚBLICA 
DOMINICANA, S.R.L.","▪  Remisión tardía de la constancia de la Dirección General de 
Impuestos Internos certificando el pago de la Liquidación de 
impuestos sobre la renta del último período fiscal en fecha 
21 de mayo, debiendo ser remitida el trece (13) de mayo de 
2013. 
▪  No remisión del Acta de la Asamblea General Ordinaria de 
socios celebrada en fecha 16 de abril de 2013, debidamente 
certificada por el Registro Mercantil a cargo de la Cámara 
de Comercio y Producción correspondiente.","Sanciones Cualitativas 
Amonestación Verbal y 
Amonestación Escrita"
